City,January,February,March,April,May,June,July,August,September,October,November,December
Cancun(avg.Temp),75.4,76.6,78.4,81.3,83.7,84.6,85.1,85.5,84,81.5,78.6,76.1
London(avg.Temp),44.2,44.2,47.8,53.6,58.6,64.9,67.3,66.9,63.1,56.3,50,44.6
Tokyo(avg.Temp),41.4,42.3,47.7,57,64.8,70.5,77,79.5,73,63.5,53.8,45.7
Toronto(avg.Temp),25.3,27.3,34.5,46.2,57.4,66.9,72.1,70.7,63,51.3,40.8,31.1
Mexico City(avg.Temp),58.3,60.6,64.6,67.3,68,66.9,64.8,64.9,64.4,62.8,61.3,59
Amsterdam(avg.Temp),38.1,38.3,43,48.4,55.2,69.7,63.7,63.5,58.5,51.8,44.8,39.2
Paris(avg.Temp),40.8,42.1,47.8,52.7,59.4,64.9,68.9,68.5,62.4,55.4,46.9,41.9
Punta Cana(avg.Temp),76.6,76.5,77,77.9,79.5,81,81.5,81.9,81.7,80.6,79.3,77.4
Vancouver(avg.Temp),39.4,40.8,44.4,48.9,55,60.3,64.4,64.4,58.8,50.5,43.3,38.5
San Jose del Cabo(avg.Temp),66,66.6,68.2,71.4,75.2,79.7,83.3,84,82.8,79.2,73.9,68.4
Montego Bay(avg.Temp),77.2,77,78.2,79.3,80.9,82,82.5,82.6,82.2,81.3,80.2,78.2